baked_ziti_5	Baked Ziti	no_context	Salt water lightly.<br>Bring a large pot of water to a boil.<br>Add ziti pasta.<br>Cook until al dente (about 8 minutes ).<br>Drain.<br>In a large skillet fry onion and ground beef over medium heat.<br>Add spaghetti sauce and mushrooms.<br>Simmer 15 minutes.<br>Counter with a 9x13 baking dish or casserole dish.<br>Layer half of the ziti in a baking dish.<br>In a small bowl, mix together the sour cream and cottage cheese until blended.<br>Pour half the meat sauce mixture over the ziti.<br>Lay the provolone cheese slices over the meat sauce.<br>Spread sour cream/ cottage cheese mixture over provolone slices.<br>Spread remaining ziti.<br>Top with remaining meat sauce mixture.<br>Shred mozzarella cheese.<br>Top with mozzarella cheese.<br>Preheat oven to 25 degrees F.<br>Bake for 30 minutes or until cheeses are melted and the top starts to brown.<br>
blueberry_banana_bread_10	Blueberry Banana Bread	context	In a large bowl, beat the sugar and vegetable oil using an electric mixer to blend.<br>Lightly grease two (5x9 foot) loaf pans.<br>Add the eggs, one at a time, then add the vanilla, mixing after each addition.<br>Add the bananas to combine.<br>Stir to combine.<br>In another large bowl, whisk together fluids, cinnamon, baking soda, baking powder, and salt.<br>Stir flour mixture into the banana mixture until just combined, 2 or 3 times.<br>Spoon batter evenly into and fill each loaf pan about 3/4 way to the top of each pan.<br>Gently fold in blueberries.<br>Preheat oven to 350 degrees F.<br>Preheat oven to 350 degrees F.<br>Insert toothpick in the middle of the loaf.<br>Bake in oven for 60-70 minutes or until the toothpick comes out clean.<br>During the summer, a wire rack loaf pan that will cool for 10 minutes.<br>Remove the pan from its original shape.<br>Place the pan on a shelf.<br>Let cool completely.<br>
cauliflower_mash_3	Cauliflower Mash	original	Pull the leaves off the cauliflower and cut out the core in a kind of cone-shaped section.<br>Break or cut the florets into small, regular pieces (about 1 1/2 inch) and put them in the steamer insert.<br>Bring about 1 inch of water to a boil in the steamer pot, add the insert, cover, and cook for about 20 minutes, or until you can poke a paring knife into the stems and you can feel that there 's still a little texture there.<br>Dump about half of the cauliflower into a food processor.<br>Pour in the nut milk and purée until smooth.<br>Now dump the rest of the cauliflower on top and purée again.<br>You 'll need to stop and scrape and stir the purée a few times.<br>Once smooth, add in the butter, salt, pepper and garlic and mix.<br>Taste for seasoning and serve hot.<br>(You can reheat over low heat in the same pan if you 're not eating immediately.).<br>
chewy_chocolate_chip_cookies_9	Chewy Chocolate Chip Cookies	dependency	Use a stand mixer with the paddle attachment.<br>In a medium bowl, whisk together the flour, baking soda, baking powder and salt.<br>Beat the butter, cream cheese, light brown sugar, granulated sugar and vanilla extract until the mixture becomes light and fluffy.<br>Add eggs one at a time, making sure they are fully incorporated.<br>Add the dry mixture a third at a time until mixed.<br>Incorporated, scrape down the sides as needed.<br>Stir in the chocolate chips.<br>Line a baking sheet with parchment paper.<br>Use a cookie scoop.<br>Place 1-2 tablespoon mounds onto the parchment paper about 2 inches apart.<br>Preheat oven to 350°.<br>Bake the cookies for 12-14 minutes or until golden brown.<br>Remove from oven.<br>And let cool for 5 minutes.<br>Before transfer to a cooling rack.<br>Minutes before bake.<br>For best results, place dough in refrigerator overnight or for at least 30 minutes.<br>
garam_masala_3	Garam Masala	coref	In a small pan roast the coriander, cumin, seeds, cardamom, cinnamon, and cloves separately.<br>Once the cloves start to smell fragrant, turn each one on a plate to cool.<br>Roast the cloves.<br>Strip the cards and use only the seeds.<br>Strip the cards and discard the seeds.<br>Put all the cards in an electric blender.<br>All the cards blend the cards into a fine powder.<br>Greased the nutmeg finely.<br>Mix the nutmeg finely.<br>Store the nutmeg in an airtight glass jar.<br>
homemade_pizza_dough_4	Homemade Pizza Dough	no_context	In the bowl of a stand mixer, combine yeast, water, salt, oil, and 2 cups flour.<br>Mix on 2 speed for about 1 minute using dough hook.<br>Add remaining flour 1/2 cup at a time until dough clings to hook and sides of bowl are clean.<br>Continue wringing at a mass for 2 additional minutes.<br>Place dough in an oil bowl (I often use the bowl I remove and then return to as a stand mixer) and turn to oil on top.<br>Cover with towel or plastic wrap.<br>This recipe can be divided into 4 pieces to make a smaller thin crust Tuesday or 2 pieces to make a larger medium thick crust Tuesday.<br>Place in a warm place to rise for an hour.<br>Make pizza according to your favorite direction.<br>
orange_chicken_5	Orange Chicken	context	Fry slow.<br>Place chicken in slow-cooker.<br>Top with pepper and carrot.<br>In a separate bowl combine broth ingredients including orange juice, soy sauce, brown sugar, mustard, and garlic salt from the southwestern.<br>Pour over chicken.<br>Cover on low.<br>Cook on low for 6-7 hours.<br>Remove chicken and vegetables from the slow cooker.<br>Keep warm.<br>Boil sauce.<br>Take out 1 cup of cooking liquid.<br>Bring to a boil in a saucepan.<br>Stir together 1 tbsp.<br>Add the orange juice and cornstarch to the sauce.<br>Stir for 2-3 minutes until thick.<br>Pour in chicken.<br>Slice green vegetables.<br>Top with green vegetables.<br>Cook rice.<br>Serve over rice.<br>
pumpkin_chocolate_chip_bread_7	Pumpkin Chocolate Chip Bread	original	Preheat oven to 350 degrees, and grease a loaf pan.<br>In a large mixing bowl, add flour, oats, salt, cinnamon, pumpkin pie spice, and baking powder.<br>Stir to combine.<br>In another mixing bowl, beat the eggs with an electric hand mixer and then add the sugar.<br>Beat until well combined.<br>Add the oil, yogurt, pumpkin, and vanilla and beat to mix well.<br>Fold the mini chips into the batter.<br>Pour into the loaf pan and bake for 1 hour, or until a toothpick inserted into the middle comes out clean.<br>
slow_cooker_chicken_tortilla_soup_3	Slow Cooker Chicken Tortilla Soup	dependency	Place chicken, tomatoes, enchilada sauce, onion, green chiles and garlic in slow cooker.<br>Pour in water and chicken broth with cumin, chili powder, salt, pepper and bay leaf.<br>Water and season.<br>Stir in corn and cilantro.<br>Cover.<br>And cook on low for 6-8 hours or on high 3-4 hours.<br>Brush tortillas (both sides) with oil.<br>Cut tortillas into strips on baking sheet.<br>Strips and place.<br>Preheat oven to 400°.<br>Bake until crisp, about 10-15 minutes.<br>Sprinkle tortilla strips on top of soup.<br>To serve.<br>
waffles_7	Waffles	coref	In a large mixing bowl, sift together the flour, baking powder, salt, and sugar.<br>In a jug measure the milk.<br>Separate the eggs.<br>Place the eggs whites in the bowl of the stand mixer.<br>Add the yolk and vanilla essence to the milk.<br>Whisk together the yolk and vanilla essence.<br>Pour it into the flour mixture.<br>It stir it very gently until about combined.<br>Melt butter.<br>Stir butter into it.<br>Continue to mix butter very gently until combined.<br>Beat in to egg whites until stiff.<br>Preheat waffle iron.<br>Slowly fold in to batter the egg whites.<br>Sever the batter by batch onto the waffle iron.<br>Cook the egg whites according to your directions.<br>Remove the egg whites immediately.<br>Serve the maple syrup and fruit.<br>
coherence_homemade_graham_crackers_8	Homemade Graham Crackers	coherence	Add the flour mixture and mix on low speed just until blended .<br>Transfer the dough onto a piece of plastic wrap and wrap tightly .<br>In a medium bowl , whisk together both flours , the baking soda and salt .<br>When ready to bake the cookies , preheat the oven to 350 degrees F.<br>Refrigerate for at least 2 hours , or up to 5 days .<br>Bake for another 6 to 8 minutes , or until the cookies are dark golden brown .<br>Line two baking sheets with parchment paper or a silicone baking mat .<br>Store in an airtight container for up to 5 days .<br>Bake the cookies for 10 minutes and then rotate the baking sheet .<br>Let cool for a minute on the baking sheets , then transfer to a cooling rack .<br>Transfer to the baking sheet.<br>On a lightly floured surface , roll out the dough and cut into 3-inch squares .<br>Let cool completely ( they will crisp up as they cool ) .<br>In a large bowl , combine the butter , brown sugar and honey .<br>
