baked_ziti_5	Baked Ziti	context	Lightly salt water.<br>Bring large pot of water to a boil.<br>Add ziti pasta.<br>Cook ziti pasta until al dente about 8 minutes.<br>Drain.<br>In a large skillet, fry onion and ground beef over medium heat.<br>Add spaghetti sauce and mushrooms.<br>Simmer 15 minutes.<br>Counter either a 9x13 baking dish.<br>Layer half the ziti in the baking dish.<br>In a small bowl, mix sour cream and cottage cheese together until blended.<br>Pour 1/2 of the meat sauce mixture over ziti.<br>Lay the provolone cheese slices over the meat sauce.<br>Spread the sour cream / cottage cheese mixture over the provolone cheese slices.<br>Spread the remaining ziti.<br>Top with the remaining meat sauce.<br>Shred mozzarella cheese.<br>Top with mozzarella cheese.<br>Preheat the oven to 25 degrees F.<br>Bake for 30 minutes or until cheeses are melted and the top starts to brown.<br>
blueberry_banana_bread_10	Blueberry Banana Bread	original	Preheat oven to 350° F.<br>Lightly grease two 9 x 5-inch loaf pans.<br>In a large bowl, using an electric mixer, beat sugar and vegetable oil to blend.<br>Add in eggs, one at a time, then vanilla, mixing after each addition.<br>Add in the banana and stir to combine.<br>In another large bowl, whisk together flours, cinnamon, baking soda, baking powder and salt.<br>Stir flour mixture into banana mixture in 2 or 3 additions until just combined.<br>Gently fold in blueberries.<br>Spoon batter evenly into loaf pans, filling about 3/4 of the way to the top of each pan.<br>Bake in preheated oven for 60 – 70 minutes or until a toothpick inserted into the middle of a loaf comes out clean.<br>Cool loaf pans on wire racks for 10 minutes.<br>Remove loaves from pans, place on racks and cool completely.<br>
cauliflower_mash_3	Cauliflower Mash	dependency	Pull the leaves off the cauliflower.<br>And cut out the core in a kind of cone-shaped section.<br>Break.<br>Or cut the florets into small, regular pieces (about 1 1/2 inch).<br>And put them in the steamer insert.<br>Bring about 1 inch of water a boil in the steamer pot, cover and you can feel that there 's still a little texture there.<br>To.<br>Add the insert.<br>Or until you can poke a paring knife into the stems.<br>And cook for about 20 minutes.<br>Dump about half of the cauliflower into a food processor.<br>Pour in the nut milk.<br>And purée until smooth.<br>Now dump the rest of the cauliflower on top.<br>And purée again.<br>You 'll need to stop and scrape and stir the purée a few times.<br>Once smooth, add in the butter, salt, pepper and garlic.<br>Butter and mix.<br>Taste.<br>For season.<br>(You can reheat over low heat in the same pan if you 're not eating immediately.).<br>And serve hot.<br>
chewy_chocolate_chip_cookies_9	Chewy Chocolate Chip Cookies	coref	Using the paddle attachment, beat the butter, cream cheese, light brown sugar, granulated sugar, and vanilla extract into the stand mixer until the mixture becomes light and fluffy.<br>In a medium bowl, whisk together flour, baking soda, baking powder, and salt.<br>Add eggs one at a time, and make sure you incorporate eggs fully.<br>Add dry mixture one at a time until blended.<br>Make sure eggs are fully incorporated, scrape down sides as necessary.<br>Stir in to eggs chocolate chips.<br>Line a baking sheet with parchment paper.<br>Using a cookie scoop, place 1-2 tablespoons mounds about 2 inches apart on the parchment paper.<br>Preheat the oven to 350 degrees.<br>Bake cookies for 12-14 minutes or until brown.<br>Remove cookies from oven.<br>Let cookies cool for 5 minutes.<br>Transfer cookies to cooling rack.<br>Dough; bake cookies.<br>Place dough in refrigerator for overnight or at least 30 minutes for the best result.<br>
garam_masala_3	Garam Masala	no_context	In a small pan, separate the coriander, cumin, seeds, cardamom, cinnamon and nut.<br>When each one starts to smell the fragrant's turning onto a plate to cool.<br>Roast.<br>Strip the card and use only the seeds.<br>Strip the card and discard the pods.<br>Put all in an electric blender.<br>Blend to a fine powder.<br>Grease finely with nutmeg.<br>Mix.<br>Store in an airtight lid glass jar.<br>
homemade_pizza_dough_4	Homemade Pizza Dough	context	In the bowl of a stand mixer, combine yeast, water, salt, oil and 2 cups flour.<br>Using the dough hook, mix on 2 speeds for about 1 minute.<br>Add the remaining flour a half the cup at a time until dough clings to the hook and sides of the bowl are clean.<br>Continue to wring in mass an additional 2 minutes.<br>Place the dough in an oil bowl (I often use the bowl I removed then returned to the stand mixer) and turn into the oil bowl on top.<br>Cover with a towel or plastic wrap.<br>(This recipe may be divided in four pieces to make the thinner crust Tuesday (or may be divided in two more large crust Tuesdays ).<br>Place in a warm place to rise for an hour.<br>Make the pizza according to your favorite directions.<br>
orange_chicken_5	Orange Chicken	original	Place chicken in a greased slow cooker.<br>Top with peppers and carrots.<br>Combine broth ingredients in separate bowl: orange juice, soy sauce, brown sugar, mustard, garlic salt, and pepper flakes.<br>Pour over chicken.<br>Cover and cook for 6-7 hours on low.<br>Remove chicken and veggies from slow cooker and keep warm.<br>Take out 1 cup of cooking liquid and bring to a boil in saucepan.<br>Stir together 1 Tbs.<br>of orange juice and the cornstarch, add to boiling sauce.<br>Stir for 2-3 minutes until thick.<br>Pour over the chicken.<br>Top with sliced green onions and serve over cooked rice.<br>
pumpkin_chocolate_chip_bread_7	Pumpkin Chocolate Chip Bread	dependency	And grease a loaf pan.<br>In a large mixing bowl, add flour, oats, salt, cinnamon, pumpkin pie spice, and baking powder.<br>Stir to combine.<br>In another mixing bowl, beat the eggs with an electric hand mixer.<br>And then add the sugar.<br>Until well combin.<br>Beat.<br>Add the oil, yogurt, pumpkin, and vanilla.<br>And beat to mix well.<br>Fold the mini chips into the batter.<br>Pour into the loaf pan.<br>Toothpick insert into the middle.<br>Or until a toothpick comes out clean.<br>Preheat oven to 350 degrees.<br>And bake for 1 hour.<br>
slow_cooker_chicken_tortilla_soup_3	Slow Cooker Chicken Tortilla Soup	coref	Place chicken, tomatoes, enchilada sauce, onion, green chiles, and garlic into a slow cooker.<br>Pour in to garlic water and chicken broth chicken.<br>Case garlic with cumin, chili powder, salt, pepper and bay leaf.<br>Stir in to garlic corn and cilantro.<br>Cover garlic.<br>Cook garlic on low for 6-8 hours or on high for 3-4 hours.<br>Brush both sides of pans with oil.<br>Cut tortoise into strips.<br>Place strips on a baking sheet.<br>Preheat oven to 400 degrees C.<br>Bake strips for about 10-15 minutes until crisp.<br>To serve, sprinkle tortilla strips on top of soup.<br>
waffles_7	Waffles	no_context	Sift together the flour, baking powder, salt and sugar in a large mixing bowl.<br>Measure milk in a jug.<br>Separate eggs.<br>Place egg whites in the bowl of a stand mixer.<br>Add the yolk and vanilla essence to milk.<br>Whisk together.<br>Pour in flour mixture.<br>Stir very gently until about combined.<br>Melt butter.<br>Stir in butter.<br>Continue mixing very gently until combined.<br>Beat egg whites until stiff.<br>Preheat waffle iron.<br>Slowly fold in egg whites into batter.<br>Save batter in batches on waffle iron.<br>Cook batter according to directions.<br>Remove immediately.<br>Serve with maple syrup and fruit.<br>
coherence_homemade_graham_crackers_8	Homemade Graham Crackers	coherence	Add the flour mixture and mix on low speed just until blended .<br>Transfer the dough onto a piece of plastic wrap and wrap tightly .<br>In a medium bowl , whisk together both flours , the baking soda and salt .<br>When ready to bake the cookies , preheat the oven to 350 degrees F.<br>Refrigerate for at least 2 hours , or up to 5 days .<br>Bake for another 6 to 8 minutes , or until the cookies are dark golden brown .<br>Line two baking sheets with parchment paper or a silicone baking mat .<br>Store in an airtight container for up to 5 days .<br>Bake the cookies for 10 minutes and then rotate the baking sheet .<br>Let cool for a minute on the baking sheets , then transfer to a cooling rack .<br>Transfer to the baking sheet.<br>On a lightly floured surface , roll out the dough and cut into 3-inch squares .<br>Let cool completely ( they will crisp up as they cool ) .<br>In a large bowl , combine the butter , brown sugar and honey .<br>
grammaticality_peanut_butter_bars_8	Peanut Butter Bars	grammaticality	First four ingredient in a large mixing bowl combine well-combined.<br>Evenly spreading a 9x13 baking dish.<br>Combine ingredients for the peanut butter bar chocolate topping medium glass bowl.<br>Melt and in the microwave for 1 minute at a time.<br>From remove the microwave and stirred until smooth.<br>Spread of the peanut butter bar base.<br>Place in the freezer for 15 minutes.<br>Removes from the freezer.<br>Cut into individual bars.<br>The size depending on number of bars like you serve (20-36 bars).<br>
experience	experience	experience	experience
feedback	feedback	feedback	feedback
